p11,p22
847,8
360,266
662,165
315,162
154,631
176,184
536,210
328,335
90,777
625,622
51,512
495,249
533,832
226,326
538,608
707,590
61,162
388,456
639,597
95,427
12,428
364,233
364,283
315,544
174,803
88,547
545,233
717,210
57,162
154,369
335,368
801,106
536,158
538,631
176,657
344,224
226,707
531,328
702,481
733,282
322,737
777,646
409,548
573,422
634,615
544,345
702,390
168,146
144,141
238,656
147,67
132,157
19,506
83,638
308,568
624,821
756,665
725,740
158,510
803,326
410,252
784,832
115,603
646,647
415,276
414,421
640,467
88,511
131,170
522,41
315,253
599,369
668,570
791,298
782,242
123,118
655,799
257,372
389,585
838,396
213,674
515,49
278,578
629,848
786,348
476,774
243,296
7,843
829,45
485,214
402,825
803,283
344,578
481,55
707,366
233,314
512,634
158,531
702,282
674,257
847,764
170,511
522,515
368,110
309,737
687,106
503,288
68,642
127,824
335,328
461,461
315,597
774,840
213,848
608,781
12,570
61,591
782,799
634,786
372,641
668,396
296,662
467,369
298,655
599,360
123,838
639,388
578,590
242,476
88,278
427,707
266,536
640,49
428,165
162,773
118,95
791,629
253,8
456,538
165,562
791,206
696,654
226,233
634,777
118,773
838,95
640,522
639,668
427,578
608,213
467,170
12,456
774,372
538,123
428,570
49,131
315,388
655,629
162,279
278,360
61,585
597,707
476,799
590,662
369,389
782,243
786,453
296,511
88,847
396,781
8,41
764,775
242,515
257,599
366,240
786,206
360,847
278,785
522,574
781,398
838,773
704,654
512,503
387,624
135,769
246,205
35,844
7,33
702,106
41,243
61,640
515,799
629,782
467,389
396,257
428,536
279,118
476,298
511,655
213,791
242,372
8,585
570,456
296,599
427,662
12,639
369,123
162,266
49,608
707,388
538,95
590,165
315,668
578,597
88,613
364,365
427,360
372,773
511,253
515,298
608,774
838,764
522,257
95,674
365,233
803,282
369,578
544,366
481,717
590,536
597,662
61,131
456,428
585,634
41,453
389,213
707,668
570,123
396,785
538,348
206,775
599,49
118,629
315,12
388,243
467,639
165,782
847,296
791,786
655,479
799,640
369,242
476,266
735,733
510,377
112,380
337,184
154,364
226,335
315,224
210,88
547,712
345,701
330,531
57,704
322,327
727,539
180,801
57,344
707,375
314,158
283,657
538,55
117,290
402,214
51,42
146,196
463,815
308,186
19,620
326,162
328,317
702,176
631,545
536,174
591,630
575,465
7,175
409,634
117,290
656,505
456,668
737,180
110,727
106,327
94,618
45,540
497,287
290,117
456,668
538,315
233,696
538,315
634,777
235,141
218,441
468,580
654,710
668,456
290,517
117,593
634,409
20,150
55,176
162,578
366,328
536,233
481,631
176,803
634,409
733,801
539,510
322,380
545,154
174,184
315,317
210,702
335,326
409,634
687,345
330,368
547,309
531,377
712,735
701,112
801,209
55,282
369,283
314,544
717,344
707,365
33,7
777,634
209,801
45,147
657,226
224,158
57,337
538,88
364,375
409,634
255,815
630,621
196,617
42,143
209,801
620,19
90,483
51,126
763,54
801,209
777,609
478,354
354,792
251,208
502,359
289,652
704,743
538,123
121,395
593,297
299,523
77,817
828,290
793,273
517,607
117,612
122,577
765,280
801,209
233,382
395,502
593,354
793,704
817,783
106,121
612,517
290,678
251,849
354,107
117,122
123,591
409,634
634,615
409,573
620,238
168,619
576,777
260,422
226,521
74,276
92,784
51,776
649,564
48,410
33,314
473,717
588,67
79,55
591,536
328,184
328,174
184,282
620,168
620,19
238,147
168,146
619,830
19,39
830,439
620,148
619,69
168,27
146,638
147,626
238,239
817,297
652,359
612,828
523,280
354,77
251,792
478,354
817,289
512,387
67,52
784,771
328,234
282,707
184,163
174,322
122,517
765,704
121,290
793,299
107,577
110,593
55,119
532,410
73,314
514,33
461,710
543,834
422,804
233,167
696,11
709,64
524,777
564,632
472,426
263,506
226,789
446,276
316,643
717,586
171,51
450,250
536,662
322,803
184,209
163,578
234,311
282,227
707,210
328,180
174,63
630,591
395,652
517,523
280,817
121,765
828,354
792,122
77,577
251,359
289,354
793,297
290,478
117,107
110,502
704,299
593,612
55,125
789,784
561,543
450,120
64,472
527,564
303,777
709,696
67,584
314,717
51,188
514,226
33,504
710,316
260,276
461,833
506,167
233,643
827,426
410,82
422,363
662,402
430,529
751,650
450,413
448,417
548,543
422,635
550,387
615,408
778,302
790,787
609,10
831,249
835,76
573,268
770,166
637,837
769,246
248,766
423,406
80,114
508,109
116,844
75,816
538,428
491,184
209,335
801,309
687,539
322,368
272,156
51,763
618,490
233,357
333,106
538,7
702,364
573,646
409,422
548,634
777,615
358,725
704,679
538,456
547,177
832,76
101,83
506,665
815,843
464,555
495,35
70,129
45,127
292,144
19,795
620,638
634,409
738,564
171,276
73,33
776,55
233,461
455,67
709,710
473,226
530,784
446,422
316,833
717,755
314,586
696,64
11,506
167,426
648,450
543,623
616,410
51,798
777,681
502,678
121,828
122,607
354,397
395,359
577,783
478,792
354,77
517,289
523,612
568,222
618,494
769,75
61,570
629,467
123,662
599,476
456,12
41,388
791,428
257,597
290,273
117,652
251,593
817,110
106,793
121,478
117,354
517,77
354,783
577,251
502,122
612,107
607,297
289,765
828,395
817,792
382,161
414,75
609,249
630,591
119,51
450,526
233,316
276,422
67,587
717,33
410,524
91,543
777,583
586,226
567,564
461,64
314,514
709,506
263,426
55,74
521,784
710,696
110,793
106,359
523,593
290,652
665,39
41,242
599,165
704,708
755,226
409,634
476,296
791,266
123,786
570,590
257,640
12,847
61,372
428,427
388,668
597,655
662,782
629,118
467,396
456,639
33,586
314,789
506,472
119,422
696,827
276,188
461,167
587,410
450,822
310,564
643,426
67,124
777,567
717,784
405,543
233,709
710,11
316,64
55,51
538,315
64,167
506,316
477,543
226,504
410,67
51,422
717,771
55,363
450,383
777,564
125,276
696,426
33,784
233,11
710,833
314,530
709,461
409,646
634,615
226,314
543,480
789,717
316,472
709,426
777,527
696,461
670,564
33,473
450,525
504,784
643,506
67,261
276,55
51,125
64,827
422,188
584,410
233,710
117,765
538,315
765,117
180,727
545,183
88,510
233,734
29,30
656,168
485,815
7,829
630,581
196,197
33,402
146,19
89,341
582,520
694,173
78,740
319,675
201,628
490,499
496,664
117,765
33,51
135,39
582,794
520,605
536,315
428,88
803,284
283,672
777,646
609,387
710,329
33,111
39,295
158,335
319,675
694,173
78,740
815,485
696,156
573,615
634,409
387,276
777,422
754,196
536,375
315,456
88,162
428,57
51,45
512,113
387,448
620,19
646,512
591,630
233,710
319,719
694,155
747,740
19,203
638,101
307,189
581,843
484,505
42,23
51,402
503,575
634,573
422,409
276,615
777,387
18,419
449,255
53,656
698,254
233,710
328,333
174,345
694,155
740,747
234,88
184,344
151,71
618,126
495,111
707,706
224,334
233,110
428,538
709,460
777,615
409,573
422,387
634,276
563,470
578,154
578,154
428,538
326,692
216,142
500,305
26,850
262,134
152,137
139,202
565,829
262,202
731,739
739,565
731,829
565,26
829,262
262,305
202,142
739,139
19,620
538,639
